                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.70467,                0.40184,                0.90512,                0.91766,                0.95522,                 0.9781,                0.75953,                0.58405,                0.38057,                0.63794,              0.0003962,              0.0003962,              0.0003962
                     83,                0.71231,                0.39271,                0.87246,                0.91716,                0.97015,                0.97948,                 0.7622,                0.59839,                0.37787,                0.64563,              0.0003764,              0.0003764,              0.0003764
                     84,                0.65325,                0.37515,                0.84336,                0.90278,                0.97016,                0.98024,                0.76524,                0.55814,                0.42386,                 0.6333,              0.0003566,              0.0003566,              0.0003566
                     85,                0.68845,                0.36078,                0.86525,                 0.9204,                0.94916,                0.98109,                0.75106,                0.58276,                 0.9163,                0.63625,              0.0003368,              0.0003368,              0.0003368
                     86,                0.69387,                0.36948,                0.88614,                0.94184,                 0.9403,                0.98317,                0.76367,                  0.572,                 0.4481,                0.63729,               0.000317,               0.000317,               0.000317
                     87,                0.67011,                0.35314,                 0.8803,                0.91305,                0.94032,                0.97687,                0.77061,                0.56654,                0.35565,                0.63557,              0.0002972,              0.0002972,              0.0002972
                     88,                0.66781,                0.35765,                0.86805,                0.93201,                0.92064,                0.97791,                 0.7702,                0.57659,                0.37317,                 0.6353,              0.0002774,              0.0002774,              0.0002774
                     89,                0.69007,                0.36553,                0.86957,                0.91334,                0.94387,                 0.9774,                0.77225,                0.58461,                0.36212,                0.63569,              0.0002576,              0.0002576,              0.0002576
                     90,                0.67653,                0.35463,                0.85918,                0.92717,                0.96269,                0.98159,                0.77696,                0.55804,                0.41945,                0.63169,              0.0002378,              0.0002378,              0.0002378
                     91,                0.69921,                0.37913,                0.88247,                0.94375,                 0.9403,                0.98179,                0.76536,                0.59437,                 0.4031,                0.63953,               0.000218,               0.000218,               0.000218
                     92,                0.67422,                0.35705,                  0.871,                 0.9252,                0.96269,                0.98328,                0.78068,                0.54753,                0.55138,                0.62747,              0.0001982,              0.0001982,              0.0001982
                     93,                0.71355,                0.40532,                0.89884,                0.91729,                0.97761,                0.98125,                0.77157,                0.56388,                0.35321,                0.63051,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.6794,                 0.3576,                0.88119,                0.93669,                0.95522,                0.98084,                0.78208,                0.54169,                0.46267,                0.62922,              0.0001586,              0.0001586,              0.0001586
                     95,                0.68857,                0.34522,                0.86645,                0.91379,                0.94926,                0.97969,                 0.7707,                0.56686,                0.36894,                0.63222,              0.0001388,              0.0001388,              0.0001388
                     96,                0.67252,                0.33639,                0.87728,                0.94848,                 0.9403,                0.98091,                0.78291,                0.53621,                0.42166,                0.62887,               0.000119,               0.000119,               0.000119
                     97,                0.62818,                0.34885,                0.84731,                0.93914,                 0.9403,                0.97739,                0.77651,                0.54992,                0.38393,                0.62908,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.64805,                0.32733,                0.85717,                 0.9429,                 0.9403,                 0.9758,                0.77329,                0.55336,                0.41252,                 0.6296,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.60879,                0.31028,                0.80904,                0.93779,                0.93284,                0.97314,                0.77302,                0.55255,                0.39646,                0.62914,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.65386,                 0.3303,                 0.8418,                0.91412,                0.95522,                0.97604,                0.77803,                 0.5586,                0.39132,                 0.6303,               3.98e-05,               3.98e-05,               3.98e-05
